Name,Sport,Age,Height,Weight
AsukaTeramoto,Gymnastics,16,54,66
BrittaineyRaven,Basketball,22,72,162
ChenNan,Basketball,30,78,204
GabbyDouglas,Gymnastics,16,49,90
HelaliaJohannes,Track,32,65,99
IrinaMiketenko,Track,40,63,106
JenniferLacy,Basketball,27,75,175
KaraGoucher,Track,34,67,123
LinlinDeng,Gymnastics,16,54,68
NakiaSanford,Basketball,34,76,200
NikkiBlue,Basketball,26,68,163
QiushuangHuang,Gymnastics,20,61,95
RebeccaTunney,Gymnastics,16,58,77
ReneKalmer,Track,32,70,108
ShannaCrossley,Basketball,26,70,155
ShavonteZellous,Basketball,24,70,155
TatyanaPetrova,Track,29,63,108
TikiGelana,Track,25,65,106
ValeriaStraneo,Track,36,66,97
ViktoriaKomova,Gymnastics,17,61,76
